"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";"STANDARD";"TP_SIGNAL_NAME";"VALUE";
"1";"";"ELECTRET";"9.7ELECTRET";"Q1";"Electret microphone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA10-1";"MA10-1";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3/90";"1X03/90";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4/90";"1X04/90";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"W237-103";"W237-103";"REL";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"";"";"";"";"";"";"";
"1";"";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS1";"WeMos.cc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"+12V_OK";"LEDCHIP-LED0805";"CHIP-LED0805";"LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"+5V_OK";"LEDCHIP-LED0805";"CHIP-LED0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R";"R-EU_R1206";"R1206";"R56, R57";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"100k";"R-EU_R1206";"R1206";"R26";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"20";"100n";"C-EUC1206";"C1206";"C4, C5, C12, C21, C24, C26, C27, C28, C29, C30, C32, C35, C36, C37, C38, C41, C42, C43, C44, C45";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";
"3";"100u";"ALUMINUM-SMD-220UF-16V(D6.3-H7.7MM)";"ELECTRO-SMD-C-6MM";"C20, C22, C23";"302030053";"";"";"";"";"";"";"";"";"CS1E221M-CRE77";"";"";"";"";"";"";"";"";"";"220UF";
"1";"100u/400V";"CPOL_E51X21";"E51-22";"C19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10R";"R-EU_R1206";"R1206";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"20";"10k";"R-EU_R1206";"R1206";"R5, R30, R31, R32, R33, R34, R38, R39, R40, R42, R46, R47, R49, R50, R51, R58, R59, R60, R61, R62";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";
"1";"10k";"TRIM_US-RJ9W";"RJ9W";"R1";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10n";"C-EUC1206";"C1206";"C39, C40";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";
